EventTime,Symbol,aggTradeID,price,quantity,bidderMaker,priceTimesQuantity,cml_vol,sig,cml_bid
2021-10-10 21:29:18.863000,FTMUSDT,56385974,2.2234,1480.0,True,-3290.632,2160400.4780999846,-1,2341
2021-10-10 21:29:18.863000,FTMUSDT,56385975,2.2231,800.0,True,-1778.48,2158621.9980999846,-1,2340
2021-10-10 21:29:18.863000,FTMUSDT,56385976,2.223,630.0,True,-1400.49,2157221.5080999844,-1,2339
2021-10-10 21:29:18.863000,FTMUSDT,56385977,2.2228,792.0,True,-1760.4576,2155461.0504999845,-1,2338
2021-10-10 21:29:18.863000,FTMUSDT,56385978,2.2227,795.0,True,-1767.0465000000002,2153694.0039999844,-1,2337
2021-10-10 21:29:20.150000,FTMUSDT,56385979,2.2233,1498.0,False,3330.5034,2157024.507399984,1,2338
2021-10-10 21:29:20.150000,FTMUSDT,56385980,2.2234,838.0,False,1863.2092,2158887.716599984,1,2339
2021-10-10 21:29:20.214000,FTMUSDT,56385981,2.2236,157.0,True,-349.1052,2158538.611399984,-1,2338
2021-10-10 21:29:20.667000,FTMUSDT,56385982,2.2233,46.0,True,-102.2718,2158436.339599984,-1,2337
2021-10-10 21:29:21.151000,FTMUSDT,56385983,2.2234,944.0,False,2098.8896,2160535.229199984,1,2338
2021-10-10 21:29:21.868000,FTMUSDT,56385984,2.2224,130.0,True,-288.912,2160246.317199984,-1,2337
2021-10-10 21:29:23.495000,FTMUSDT,56385985,2.222,94.0,True,-208.868,2160037.449199984,-1,2336
2021-10-10 21:29:23.655000,FTMUSDT,56385986,2.2217,29.0,True,-64.4293,2159973.019899984,-1,2335
2021-10-10 21:29:24.411000,FTMUSDT,56385987,2.2223,5.0,False,11.1115,2159984.131399984,1,2336
2021-10-10 21:29:24.709000,FTMUSDT,56385988,2.2222,24.0,True,-53.3328,2159930.798599984,-1,2335
2021-10-10 21:29:25.707000,FTMUSDT,56385989,2.2223,1006.0,True,-2235.6338,2157695.164799984,-1,2334
2021-10-10 21:29:26.149000,FTMUSDT,56385990,2.2224,63.0,False,140.0112,2157835.175999984,1,2335
2021-10-10 21:29:27.174000,FTMUSDT,56385991,2.2222,86.0,True,-191.1092,2157644.0667999843,-1,2334
2021-10-10 21:29:27.174000,FTMUSDT,56385992,2.2221,520.0,True,-1155.4920000000002,2156488.574799984,-1,2333
2021-10-10 21:29:27.174000,FTMUSDT,56385993,2.222,5.0,True,-11.11,2156477.4647999844,-1,2332
2021-10-10 21:29:27.174000,FTMUSDT,56385994,2.2217,591.0,True,-1313.0247,2155164.4400999844,-1,2331
