event_id,time,price,quantity,side
11324445044,1633060957530,9990.0,53.2016,a
11324330827,1633060703515,8086.55,8.0,a
11324319666,1633060676513,7836.55,6.0661,a
11324316982,1633060661513,7586.55,6.0,a
11324312854,1633060644512,7336.55,5.0,a
11324310663,1633060630511,7086.55,4.0,a
11324427241,1633060923525,6350.0,0.679,a
11324419028,1633060906525,5000.0,1304.23116,a
11324447034,1633060962528,4372.72,10.49404,a
11324314919,1633060653512,4366.55,0.0087,a
11324315097,1633060654513,4365.66,0.0073,a
11324358911,1633060786519,4316.57,0.0049,a
11324429992,1633060930527,4302.65,0.0025,a
11324333056,1633060712516,4217.83,0.0179,a
11324295494,1633060579509,4200.0,903.96262,a
11324315892,1633060657513,4156.46,0.0061,a
11324333056,1633060712516,4144.92,0.0184,a
11324316414,1633060658512,4125.03,0.0122,a
11324333179,1633060713515,4077.62,0.0186,a
11324315892,1633060657513,4008.92,0.0502,a
11324391102,1633060854523,4000.0,2761.4466,a
11324423424,1633060918526,3888.0,36.7583,a
11324318629,1633060672514,3868.0,1.8696,a
11324315227,1633060655513,3859.3,0.0082,a
11324427652,1633060924527,3800.0,700.7055,a
11324372150,1633060821521,3720.0,21.4601,a
11324448466,1633060968527,3705.0,4.8472,a
11324385845,1633060848523,3700.0,419.846,a
11324411468,1633060892525,3601.22,0.0303,a
11324339351,1633060751517,3600.0,1158.5959,a
11324334125,1633060717515,3562.54,0.0136,a
11324409581,1633060889525,3530.0,36.4786,a
11324355807,1633060777519,3509.85,0.0288,a
11324333616,1633060715517,3506.76,0.0142,a
11324449459,1633060971527,3500.0,1261.5273,a
11324321658,1633060683514,3450.0,2041.107,a
11324451932,1633060979528,3433.7,0.2411,a
11324447034,1633060962528,3412.23,0.0071,a
11324319202,1633060674514,3395.0,137.0465,a
11324358659,1633060784519,3345.0,129.1431,a
11324315892,1633060657513,3343.01,0.0033,a
11324468274,1633061002529,3339.0,0.4896,a
11324295201,1633060578510,3300.0,882.5881,a
11324323537,1633060692514,3289.0,17.8635,a
11324466164,1633060998529,3269.06,0.0031,a
11324372892,1633060824521,3265.0,32.5737,a
11324366583,1633060805520,3250.0,290.0318,a
11324407339,1633060884525,3206.88,0.1715,a
11324334401,1633060718515,3206.02,0.0057,a
11324379610,1633060835523,3200.79,0.0406,a
11324441555,1633060953527,3200.0,1944.8719,a
